state_postal,state_name,office_code,district_id,office_name,district_name,precincts_reporting,total_precincts,ap_npid,first_name,last_name,middle_name,junior,use_junior,incumbent,party,vote_count,ap_winner,ap_winner_time,npr_winner,npr_winner_time
AR,Arkansas,H,2,U.S. House,District 2,375,375,62182,Chris,Hayes,,,0,0,Lib,16779,,,,
AR,Arkansas,H,2,U.S. House,District 2,375,375,62183,Barbara,Ward,,,0,0,Grn,25169,,,,
AR,Arkansas,H,4,U.S. House,District 4,850,850,52685,Gene,Jeffress,,,0,0,Dem,85492,X,,,
AR,Arkansas,H,4,U.S. House,District 4,850,850,61872,Tom,Cotton,,,0,0,GOP,66494,,,,
AR,Arkansas,H,4,U.S. House,District 4,850,850,59645,Josh,Drake,,,0,0,Grn,22798,,,,
AR,Arkansas,H,4,U.S. House,District 4,850,850,62185,Bobby,Tullis,,,0,0,Lib,15198,,,,
AR,Arkansas,H,3,U.S. House,District 3,498,498,61871,Steve,Womack,,,0,1,GOP,59902,,,,
AR,Arkansas,H,3,U.S. House,District 3,498,498,58218,Rebekah,Kennedy,,,0,0,Grn,81683,X,,,
AR,Arkansas,H,3,U.S. House,District 3,498,498,62184,David,Pangrac,,,0,0,Lib,39934,,,,
AZ,Arizona,H,1,U.S. House,District 1,338,338,59526,Ann,Kirkpatrick,,,0,0,Dem,83296,X,,,
AZ,Arizona,H,1,U.S. House,District 1,338,338,5277,Jonathan,Paton,,,0,0,GOP,74040,,,,
AZ,Arizona,H,1,U.S. House,District 1,338,338,62717,Allen,Kim,,,0,0,Lib,27765,,,,
AZ,Arizona,H,2,U.S. House,District 2,216,216,61629,Ron,Barber,,,0,1,Dem,102515,X,,,
AZ,Arizona,H,2,U.S. House,District 2,216,216,61631,Martha,McSally,,,0,0,GOP,83875,,,,
AZ,Arizona,H,3,U.S. House,District 3,189,189,1131,Raul,Grijalva,,,0,1,Dem,60831,X,,,
AZ,Arizona,H,3,U.S. House,District 3,189,189,62334,Gabriela,Saucedo Mercer,,,0,0,GOP,54071,,,,
AZ,Arizona,H,3,U.S. House,District 3,189,189,62412,Blanca,Guerra,,,0,0,Lib,20276,,,,
AZ,Arizona,H,4,U.S. House,District 4,264,264,62661,Johnnie,Robinson,,,0,0,Dem,72206,,,,
AZ,Arizona,H,4,U.S. House,District 4,264,264,61002,Paul,Gosar,,,0,1,GOP,80775,X,,,
AZ,Arizona,H,4,U.S. House,District 4,264,264,57784,Richard,Grayson,,,0,0,AmE,14477,,,,
AZ,Arizona,H,4,U.S. House,District 4,264,264,62413,Joe,Pamelia,,,0,0,Lib,14878,,,,
AZ,Arizona,H,5,U.S. House,District 5,113,113,62331,Spencer,Morgan,,,0,0,Dem,111995,X,,,
AZ,Arizona,H,5,U.S. House,District 5,113,113,1135,Matt,Salmon,,,0,0,GOP,91632,,,,
AZ,Arizona,H,6,U.S. House,District 6,156,156,61288,Matt,Jette,,,0,0,Dem,79451,,,,
AZ,Arizona,H,6,U.S. House,District 6,156,156,5397,David,Schweikert,,,0,1,GOP,88886,X,,,
AZ,Arizona,H,6,U.S. House,District 6,156,156,62431,Jack,Anderson,,,0,0,Lib,15155,,,,
AZ,Arizona,H,6,U.S. House,District 6,156,156,62718,Mark,Salazar,,,0,0,Grn,15135,,,,
AZ,Arizona,H,7,U.S. House,District 7,105,105,1124,Ed,Pastor,,,0,1,Dem,58377,X,,,
AZ,Arizona,H,7,U.S. House,District 7,105,105,57149,Joe,Cobb,,,0,0,Lib,47762,,,,
AZ,Arizona,H,8,U.S. House,District 8,142,142,5382,Gene,Scharer,,,0,0,Dem,78335,,,,
AZ,Arizona,H,8,U.S. House,District 8,142,142,1121,Trent,Franks,,,0,1,GOP,88127,X,,,
AZ,Arizona,H,8,U.S. House,District 8,142,142,62414,Stephen,Dolgos,,,0,0,AmE,29375,,,,
AZ,Arizona,S,0,U.S. Senate,,1664,1664,62329,Richard,Carmona,,,0,0,Dem,700547,,,,
AZ,Arizona,S,0,U.S. Senate,,1664,1664,1129,Jeff,Flake,,,0,0,GOP,788115,X,,,
AZ,Arizona,S,0,U.S. Senate,,1664,1664,62716,Marc,Victor,,,0,0,Lib,262705,,,,
AZ,Arizona,H,9,U.S. House,District 9,141,141,5418,Kyrsten,Sinema,,,0,0,Dem,72386,,,,
AZ,Arizona,H,9,U.S. House,District 9,141,141,61301,Vernon,Parker,,,0,0,GOP,81434,X,,,
AZ,Arizona,H,9,U.S. House,District 9,141,141,51356,Powell,Gammill,,,0,0,Lib,27144,,,,
CA,California,H,2,U.S. House,District 2,732,732,62063,Jared,Huffman,,,0,0,Dem,88939,,,,
CA,California,H,2,U.S. House,District 2,732,732,60832,Daniel,Roberts,,,0,0,GOP,108702,X,,,
CA,California,H,3,U.S. House,District 3,452,452,7136,John,Garamendi,,,0,1,Dem,86951,X,,,
CA,California,H,3,U.S. House,District 3,452,452,62344,Kim,Vann,,,0,0,GOP,71140,,,,
CA,California,H,4,U.S. House,District 4,555,555,62240,Jack,Uppal,,,0,0,Dem,95300,,,,
CA,California,H,4,U.S. House,District 4,555,555,52499,Tom,McClintock,,,0,1,GOP,116476,X,,,
CA,California,H,5,U.S. House,District 5,521,521,1115,Mike,Thompson,,,0,1,Dem,95722,X,,,
CA,California,H,5,U.S. House,District 5,521,521,62340,Randy,Loftin,,,0,0,GOP,78317,,,,
CA,California,H,6,U.S. House,District 6,486,486,51416,Doris,Matsui,,,0,1,Dem,81533,X,,,
CA,California,H,6,U.S. House,District 6,486,486,62341,Joseph,McCray,,,0,0,GOP,66708,,,,
CA,California,H,7,U.S. House,District 7,506,506,60686,Ami,Bera,,,0,0,Dem,78206,,,,
CA,California,H,7,U.S. House,District 7,506,506,7721,Dan,Lungren,,,0,1,GOP,95584,X,,,
CA,California,H,8,U.S. House,District 8,870,870,62339,Paul,Cook,,,0,0,GOP,79387,X,,,
CA,California,H,8,U.S. House,District 8,870,870,62388,Gregg,Imus,,,0,0,GOP,64953,,,,
CA,California,H,9,U.S. House,District 9,429,429,50403,Jerry,McNerney,,,0,1,Dem,79091,X,,,
CA,California,H,9,U.S. House,District 9,429,429,62232,Ricky,Gill,,,0,0,GOP,64710,,,,
CA,California,H,11,U.S. House,District 11,444,444,21,George,Miller,,,0,1,Dem,96742,X,,,
CA,California,H,11,U.S. House,District 11,444,444,62389,Virginia,Fuller,,,0,0,GOP,79151,,,,
CA,California,H,12,U.S. House,District 12,527,527,24,Nancy,Pelosi,,,0,1,Dem,113374,X,,,
CA,California,H,12,U.S. House,District 12,527,527,60873,John,Dennis,,,0,0,GOP,92759,,,,
CA,California,H,13,U.S. House,District 13,486,486,28,Barbara,Lee,,,0,1,Dem,101429,X,,,
CA,California,H,13,U.S. House,District 13,486,486,62390,Marilyn,Singleton,,,0,0,NPD,82986,,,,
CA,California,H,14,U.S. House,District 14,432,432,52489,Jackie,Speier,,,0,1,Dem,89611,X,,,
CA,California,H,14,U.S. House,District 14,432,432,62391,Debbie,Bacigalupi,,,0,0,GOP,73317,,,,
CA,California,H,15,U.S. House,District 15,477,477,38,Pete,Stark,,,0,1,Dem,91233,X,,,
CA,California,H,15,U.S. House,District 15,477,477,62343,Eric,Swalwell,,,0,0,Dem,74645,,,,
CA,California,H,16,U.S. House,District 16,320,320,6818,Jim,Costa,,,0,1,Dem,69222,X,,,
CA,California,H,16,U.S. House,District 16,320,320,62227,Brian,Whelan,,,0,0,GOP,56635,,,,
CA,California,H,17,U.S. House,District 17,298,298,1206,Mike,Honda,,,0,1,Dem,77322,X,,,
CA,California,H,17,U.S. House,District 17,298,298,62225,Evelyn,Li,,,0,0,GOP,63263,,,,
CA,California,H,18,U.S. House,District 18,470,470,43,Anna,Eshoo,,,0,1,Dem,100457,X,,,
CA,California,H,18,U.S. House,District 18,470,470,60837,Dave,Chapman,,,0,0,GOP,82191,,,,
CA,California,H,19,U.S. House,District 19,342,342,49,Zoe,Lofgren,,,0,1,Dem,77930,X,,,
CA,California,H,19,U.S. House,District 19,342,342,62226,Robert,Murray,,,0,0,GOP,63760,,,,
CA,California,H,20,U.S. House,District 20,365,365,52,Sam,Farr,,,0,1,Dem,82028,X,,,
CA,California,H,20,U.S. House,District 20,365,365,58749,Jeff,Taylor,,,0,0,GOP,67113,,,,
CA,California,H,21,U.S. House,District 21,407,407,7352,John,Hernandez,,,0,0,Dem,53871,X,,,
CA,California,H,21,U.S. House,District 21,407,407,62229,David,Valadao,,,0,0,GOP,44076,,,,
CA,California,H,22,U.S. House,District 22,317,317,62392,Otto,Lee,,,0,0,Dem,68470,,,,
CA,California,H,22,U.S. House,District 22,317,317,67,Devin,Nunes,,,0,1,GOP,83684,X,,,
CA,California,H,23,U.S. House,District 23,356,356,52561,Kevin,McCarthy,,,0,1,GOP,84644,X,,,
CA,California,H,23,U.S. House,District 23,356,356,62393,Terry,Phillips,,,0,0,NPD,69254,,,,
CA,California,H,24,U.S. House,District 24,430,430,72,Lois,Capps,,,0,1,Dem,93221,X,,,
CA,California,H,24,U.S. House,District 24,430,430,52562,Abel,Maldonado,,,0,0,GOP,76271,,,,
CA,California,H,25,U.S. House,District 25,371,371,62394,Lee,Rogers,,,0,0,Dem,73935,,,,
CA,California,H,25,U.S. House,District 25,371,371,79,Buck,McKeon,,,0,1,GOP,90364,X,,,
CA,California,H,26,U.S. House,District 26,491,491,62395,Julia,Brownley,,,0,0,Dem,92957,X,,,
CA,California,H,26,U.S. House,District 26,491,491,52566,Tony,Strickland,,,0,0,GOP,76054,,,,
CA,California,H,27,U.S. House,District 27,394,394,52450,Judy,Chu,,,0,1,Dem,97437,X,,,
CA,California,H,27,U.S. House,District 27,394,394,62396,Jack,Orswell,,,0,0,GOP,79720,,,,
CA,California,H,28,U.S. House,District 28,378,378,89,Adam,Schiff,,,0,1,Dem,99613,X,,,
CA,California,H,28,U.S. House,District 28,378,378,62397,Phil,Jennerjahn,,,0,0,GOP,81500,,,,
CA,California,H,29,U.S. House,District 29,264,264,6688,Tony,Cardenas,,,0,0,Dem,67034,X,,,
CA,California,H,29,U.S. House,District 29,264,264,87,David,Hernandez,,,0,0,NPD,54845,,,,
CA,California,H,30,U.S. House,District 30,363,363,86,Howard,Berman,,,0,1,Dem,83114,,,,
CA,California,H,30,U.S. House,District 30,363,363,84,Brad,Sherman,,,0,1,Dem,101583,X,,,
CA,California,H,31,U.S. House,District 31,439,439,6975,Bob,Dutton,,,0,0,GOP,65342,,,,
CA,California,H,31,U.S. House,District 31,439,439,126,Gary,Miller,,,0,1,GOP,79861,X,,,
CA,California,H,32,U.S. House,District 32,349,349,113,Grace,Napolitano,,,0,1,Dem,82706,X,,,
CA,California,H,32,U.S. House,District 32,349,349,60878,David,Miller,,,0,0,GOP,67667,,,,
CA,California,H,33,U.S. House,District 33,450,450,92,Henry,Waxman,,,0,1,Dem,119536,X,,,
CA,California,H,33,U.S. House,District 33,450,450,62398,Bill,Bloomfield,,,0,0,NPD,97802,,,,
CA,California,H,34,U.S. House,District 34,236,236,94,Xavier,Becerra,,,0,1,Dem,63494,X,,,
CA,California,H,34,U.S. House,District 34,236,236,60879,Stephen,Smith,,,0,0,GOP,51949,,,,
CA,California,H,35,U.S. House,District 35,293,293,128,Joe,Baca,,,0,1,Dem,65280,X,,,
CA,California,H,35,U.S. House,District 35,293,293,7851,Gloria,McLeod,,,0,0,Dem,53410,,,,
CA,California,H,36,U.S. House,District 36,299,299,62342,Raul,Ruiz,,,0,0,Dem,60496,,,,
CA,California,H,36,U.S. House,District 36,299,299,135,Mary,Bono Mack,,,0,1,GOP,73938,X,,,
CA,California,H,37,U.S. House,District 37,346,346,50853,Karen,Bass,,,0,1,Dem,96499,X,,,
CA,California,H,37,U.S. House,District 37,346,346,62410,Morgan,Osborne,,,0,0,GOP,78953,,,,
CA,California,H,38,U.S. House,District 38,368,368,116,Linda,Sanchez,,,0,1,Dem,92280,X,,,
CA,California,H,38,U.S. House,District 38,368,368,62399,Benjamin,Campos,,,0,0,GOP,75501,,,,
CA,California,H,39,U.S. House,District 39,427,427,62400,Jay,Chen,,,0,0,Dem,83957,,,,
CA,California,H,39,U.S. House,District 39,427,427,1215,Ed,Royce,,,0,1,GOP,102613,X,,,
CA,California,H,40,U.S. House,District 40,248,248,102,Lucille,Roybal-Allard,,,0,1,Dem,61269,X,,,
CA,California,H,40,U.S. House,District 40,248,248,62401,David,Sanchez,,,0,0,Dem,50128,,,,
CA,California,H,41,U.S. House,District 41,236,236,8584,Mark,Takano,,,0,0,Dem,68365,X,,,
CA,California,H,41,U.S. House,District 41,236,236,62231,John,Tavaglione,,,0,0,GOP,55934,,,,
CA,California,H,42,U.S. House,District 42,293,293,59949,Michael,Williamson,,,0,0,Dem,63229,,,,
CA,California,H,42,U.S. House,District 42,293,293,132,Ken,Calvert,,,0,1,GOP,77279,X,,,
CA,California,H,43,U.S. House,District 43,339,339,62402,Bob,Flores,,,0,0,Dem,69597,,,,
CA,California,H,43,U.S. House,District 43,339,339,104,Maxine,Waters,,,0,1,Dem,85062,X,,,
CA,California,H,44,U.S. House,District 44,323,323,7264,Janice,Hahn,,,0,1,Dem,63885,,,,
CA,California,H,44,U.S. House,District 44,323,323,8265,Laura,Richardson,,,0,1,Dem,78081,X,,,
CA,California,H,45,U.S. House,District 45,531,531,62230,Sukhee,Kang,,,0,0,Dem,93197,,,,
CA,California,H,45,U.S. House,District 45,531,531,52471,John,Campbell,,,0,1,GOP,113907,X,,,
CA,California,H,46,U.S. House,District 46,282,282,140,Loretta,Sanchez,,,0,1,Dem,72002,X,,,
CA,California,H,46,U.S. House,District 46,282,282,62403,Jerry,Hayden,,,0,0,GOP,58910,,,,
CA,California,H,47,U.S. House,District 47,426,426,52455,Alan,Lowenthal,,,0,0,Dem,66563,,,,
CA,California,H,47,U.S. House,District 47,426,426,62283,Gary,Delong,,,0,0,GOP,81353,X,,,
CA,California,H,49,U.S. House,District 49,400,400,62405,Jerry,Tetalman,,,0,0,Dem,79703,,,,
CA,California,H,49,U.S. House,District 49,400,400,146,Darrell,Issa,,,0,1,GOP,97413,X,,,
CA,California,H,50,U.S. House,District 50,338,338,62407,David,Secor,,,0,0,Dem,73696,,,,
CA,California,H,50,U.S. House,District 50,338,338,59681,Duncan D.,Hunter,,,0,1,GOP,90071,X,,,
CA,California,H,51,U.S. House,District 51,359,359,52480,Juan,Vargas,,,0,0,Dem,53242,,,,
CA,California,H,51,U.S. House,District 51,359,359,58813,Michael,Crimmins,,,0,0,GOP,65072,X,,,
CA,California,H,53,U.S. House,District 53,409,409,157,Susan,Davis,,,0,1,Dem,96545,X,,,
CA,California,H,53,U.S. House,District 53,409,409,60866,Nick,Popaditch,,,0,0,GOP,78990,,,,
CA,California,H,1,U.S. House,District 1,627,627,60871,Jim,Reed,,,0,0,Dem,85344,,,,
CA,California,H,1,U.S. House,District 1,627,627,52531,Doug,La Malfa,,,0,0,GOP,104309,X,,,
CA,California,H,52,U.S. House,District 52,432,432,50902,Scott,Peters,,,0,0,Dem,83283,,,,
CA,California,H,52,U.S. House,District 52,432,432,6540,Brian,Bilbray,,,0,1,GOP,101790,X,,,
CA,California,H,48,U.S. House,District 48,560,560,62404,Ron,Varasteh,,,0,0,Dem,98048,,,,
CA,California,H,48,U.S. House,District 48,560,560,138,Dana,Rohrabacher,,,0,1,GOP,119835,X,,,
CA,California,H,10,U.S. House,District 10,500,500,62282,Jose,Hernandez,,,0,0,Dem,98229,,,,
CA,California,H,10,U.S. House,District 10,500,500,52493,Jeff,Denham,,,0,1,GOP,120057,X,,,
CA,California,S,0,U.S. Senate,,21993,21993,1704,Dianne,Feinstein,,,0,1,Dem,4689738,X,,,
CA,California,S,0,U.S. Senate,,21993,21993,61823,Elizabeth,Emken,,,0,0,GOP,3837057,,,,
CO,Colorado,H,2,U.S. House,District 2,1535,1535,52441,Kevin,Lundberg,,,0,0,GOP,109939,,,,
CO,Colorado,H,2,U.S. House,District 2,1535,1535,9302,Jared,Polis,,,0,1,Dem,123098,X,,,
CO,Colorado,H,2,U.S. House,District 2,1535,1535,62541,Randy,Luallin,,,0,0,Lib,22126,,,,
CO,Colorado,H,2,U.S. House,District 2,1535,1535,62542,Susan,Hall,,,0,0,Grn,22459,,,,
CO,Colorado,H,3,U.S. House,District 3,1338,1338,62367,Sal,Pace,,,0,0,Dem,95324,,,,
CO,Colorado,H,3,U.S. House,District 3,1338,1338,51753,Scott,Tipton,,,0,1,GOP,105650,X,,,
CO,Colorado,H,3,U.S. House,District 3,1338,1338,60586,Gregory,Gilman,,,0,0,Lib,19762,,,,
CO,Colorado,H,3,U.S. House,District 3,1338,1338,62543,Tisha,Casida,,,0,0,Una,19979,,,,
CO,Colorado,H,4,U.S. House,District 4,562,562,60589,Doug,Aden,,,0,0,AmC,17338,,,,
CO,Colorado,H,4,U.S. House,District 4,562,562,60588,Cory,Gardner,,,0,1,GOP,102037,X,,,
CO,Colorado,H,4,U.S. House,District 4,562,562,62368,Brandon,Shaffer,,,0,0,Dem,91492,,,,
CO,Colorado,H,4,U.S. House,District 4,562,562,62544,Josh,Gilliland,,,0,0,Lib,17863,,,,
CO,Colorado,H,5,U.S. House,District 5,1250,1250,9174,Doug,Lamborn,,,0,1,GOP,96299,X,,,
CO,Colorado,H,5,U.S. House,District 5,1250,1250,62369,Kenneth,Harvell,,,0,0,AmC,11582,,,,
CO,Colorado,H,5,U.S. House,District 5,1250,1250,62545,Jim,Pirtle,,,0,0,Lib,11777,,,,
CO,Colorado,H,5,U.S. House,District 5,1250,1250,62548,Misha,Luzov,,,0,0,Grn,87404,,,,
CO,Colorado,H,5,U.S. House,District 5,1250,1250,62432,Dave,Anderson,,,0,0,Una,11450,,,,
CO,Colorado,H,6,U.S. House,District 6,456,456,8993,Mike,Coffman,,,0,1,GOP,97428,X,,,
CO,Colorado,H,6,U.S. House,District 6,456,456,62370,Joe,Miklosi,,,0,0,Dem,87745,,,,
CO,Colorado,H,6,U.S. House,District 6,456,456,62546,Patrick,Provost,,,0,0,Lib,18324,,,,
CO,Colorado,H,6,U.S. House,District 6,456,456,62547,Kathy,Polhemus,,,0,0,Una,18080,,,,
CO,Colorado,H,7,U.S. House,District 7,343,343,62371,Joe,Coors,,,0,0,GOP,91945,,,,
CO,Colorado,H,7,U.S. House,District 7,343,343,9291,Ed,Perlmutter,,,0,1,Dem,102128,X,,,
CO,Colorado,H,7,U.S. House,District 7,343,343,1222,Douglas,Campbell,,,0,0,AmC,17308,,,,
CO,Colorado,H,7,U.S. House,District 7,343,343,60600,Buck,Bailey,,,0,0,Lib,18480,,,,
CO,Colorado,H,1,U.S. House,District 1,1439,1439,734,Diana,DeGette,,,0,1,Dem,113720,X,,,
CO,Colorado,H,1,U.S. House,District 1,1439,1439,62366,Danny,Stroud,,,0,0,GOP,102382,,,,
CO,Colorado,H,1,U.S. House,District 1,1439,1439,62539,Frank,Atwood,,,0,0,Lib,19452,,,,
CO,Colorado,H,1,U.S. House,District 1,1439,1439,744,Gary,Swing,,,0,0,Grn,20399,,,,
CT,Connecticut,H,1,U.S. House,District 1,135,135,62326,John,Decker,,,0,0,GOP,77601,,,,
CT,Connecticut,H,1,U.S. House,District 1,135,135,1139,John,Larson,,,0,1,Dem,96224,X,,,
CT,Connecticut,H,1,U.S. House,District 1,135,135,62712,Michael,DeRosa,,,0,0,Grn,10165,,,,
CT,Connecticut,H,1,U.S. House,District 1,135,135,62729,Matthew,Corey,,,0,0,PEC,10010,,,,
CT,Connecticut,H,2,U.S. House,District 2,135,135,62533,Paul,Formica,,,0,0,GOP,81323,,,,
CT,Connecticut,H,2,U.S. House,District 2,135,135,1231,Joe,Courtney,,,0,1,Dem,103359,X,,,
CT,Connecticut,H,2,U.S. House,District 2,135,135,62687,Colin,Bennett,,,0,0,Grn,10391,,,,
CT,Connecticut,H,2,U.S. House,District 2,135,135,61163,Daniel,Reale,,,0,0,Lib,10288,,,,
CT,Connecticut,H,3,U.S. House,District 3,164,164,62124,Wayne,Winsley,,,0,0,GOP,79262,,,,
CT,Connecticut,H,3,U.S. House,District 3,164,164,1141,Rosa,DeLauro,,,0,1,Dem,118892,X,,,
CT,Connecticut,H,4,U.S. House,District 4,119,119,62327,Steve,Obsitnik,,,0,0,GOP,76228,,,,
CT,Connecticut,H,4,U.S. House,District 4,119,119,59590,Jim,Himes,,,0,1,Dem,114340,X,,,
CT,Connecticut,H,5,U.S. House,District 5,142,142,52161,Andrew,Roraback,,,0,0,GOP,94212,,,,
CT,Connecticut,H,5,U.S. House,District 5,142,142,62534,Elizabeth,Esty,,,0,0,Dem,102802,X,,,
CT,Connecticut,S,0,U.S. Senate,,695,695,60572,Linda,McMahon,,,0,0,GOP,439327,,,,
CT,Connecticut,S,0,U.S. Senate,,695,695,52147,Chris,Murphy,,,0,0,Dem,487560,X,,,
CT,Connecticut,S,0,U.S. Senate,,695,695,62711,Paul,Passarelli,,,0,0,Lib,57487,,,,
DE,Delaware,H,1,U.S. House,District 1,348,348,10206,John,Carney,,,0,1,Dem,137163,X,,,
DE,Delaware,H,1,U.S. House,District 1,348,348,62448,Thomas,Kovach,,,0,0,GOP,123250,,,,
DE,Delaware,H,1,U.S. House,District 1,348,348,62713,Bernard,August,,,0,0,Grn,25801,,,,
DE,Delaware,H,1,U.S. House,District 1,348,348,62449,Scott,Gesty,,,0,0,Lib,25023,,,,
DE,Delaware,S,0,U.S. Senate,,348,348,1710,Thomas,Carper,,,0,1,Dem,136136,X,,,
DE,Delaware,S,0,U.S. Senate,,348,348,62453,Kevin,Wade,,,0,0,GOP,123250,,,,
DE,Delaware,S,0,U.S. Senate,,348,348,62705,Andrew,Groff,,,0,0,Grn,25801,,,,
DE,Delaware,S,0,U.S. Senate,,348,348,62452,Alexander,Pires,,,0,0,IPD,26050,,,,
FL,Florida,S,0,U.S. Senate,,6632,6632,10998,Connie,Mack,,,0,0,GOP,2289301,,,,
FL,Florida,S,0,U.S. Senate,,6632,6632,1711,Bill,Nelson,,,0,1,Dem,2529104,X,,,
FL,Florida,S,0,U.S. Senate,,6632,6632,62126,William,Gaylor,,,0,0,NPA,438973,,,,
FL,Florida,S,0,U.S. Senate,,6632,6632,62125,Chris,Borgia,,,0,0,NPA,465872,,,,
FL,Florida,H,2,U.S. House,District 2,328,328,60472,Steve,Southerland,,,0,1,GOP,116862,X,,,
FL,Florida,H,2,U.S. House,District 2,328,328,53059,Al,Lawson,,,0,0,Dem,95614,,,,
FL,Florida,H,3,U.S. House,District 3,233,233,62555,Ted,Yoho,,,0,0,GOP,81275,,,,
FL,Florida,H,3,U.S. House,District 3,233,233,62138,Jacques,Gaillot,,,0,0,Dem,91433,X,,,
FL,Florida,H,3,U.S. House,District 3,233,233,62139,Philip,Dodds,,,0,0,NPA,30477,,,,
FL,Florida,H,4,U.S. House,District 4,178,178,851,Ander,Crenshaw,,,0,1,GOP,121719,X,,,
FL,Florida,H,4,U.S. House,District 4,178,178,62156,Jim,Klauder,,,0,0,NPA,99588,,,,
FL,Florida,H,5,U.S. House,District 5,195,195,62157,LeAnne,Kolb,,,0,0,GOP,53626,,,,
FL,Florida,H,5,U.S. House,District 5,195,195,1242,Corrine,Brown,,,0,1,Dem,60328,X,,,
FL,Florida,H,5,U.S. House,District 5,195,195,62140,Eileen,Fleming,,,0,0,NPA,20109,,,,
FL,Florida,H,6,U.S. House,District 6,189,189,62557,Ron,DeSantis,,,0,0,GOP,132493,X,,,
FL,Florida,H,6,U.S. House,District 6,189,189,60484,Heather,Beaven,,,0,0,Dem,108403,,,,
FL,Florida,H,7,U.S. House,District 7,146,146,856,John,Mica,,,0,1,GOP,86836,X,,,
FL,Florida,H,7,U.S. House,District 7,146,146,62556,Jason,Kendall,,,0,0,Dem,71046,,,,
FL,Florida,H,8,U.S. House,District 8,214,214,53077,Bill,Posey,,,0,1,GOP,103005,X,,,
FL,Florida,H,8,U.S. House,District 8,214,214,60511,Shannon,Roberts,,,0,0,Dem,91559,,,,
FL,Florida,H,8,U.S. House,District 8,214,214,62141,Richard,Gillmor,,,0,0,NPA,34334,,,,
FL,Florida,H,9,U.S. House,District 9,148,148,59131,Todd,Long,,,0,0,GOP,48914,X,,,
FL,Florida,H,9,U.S. House,District 9,148,148,59898,Alan,Grayson,,,0,0,Dem,40019,,,,
FL,Florida,H,10,U.S. House,District 10,187,187,53062,Daniel,Webster,,,0,1,GOP,62974,X,,,
FL,Florida,H,10,U.S. House,District 10,187,187,62128,Val,Demings,,,0,0,Dem,51524,,,,
FL,Florida,H,11,U.S. House,District 11,202,202,60481,Richard,Nugent,,,0,1,GOP,129056,X,,,
FL,Florida,H,11,U.S. House,District 11,202,202,62143,David,Werder,,,0,0,Dem,105591,,,,
FL,Florida,H,12,U.S. House,District 12,191,191,52981,Gus,Bilirakis,,,0,1,GOP,99835,X,,,
FL,Florida,H,12,U.S. House,District 12,191,191,62129,Jonathan,Snow,,,0,0,Dem,90246,,,,
FL,Florida,H,12,U.S. House,District 12,191,191,50022,John,Russell,,,0,0,NPA,18229,,,,
